Timestamp,CO2,Nitrogen,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Iron,Manganese,Zinc,Copper,Boron,Sodium,Chloride,Aluminum
2019-07-03 12:00:00,400.76,1.321,0.434,71.8,127.0,91.5,38.4,9.62,4.24,1.87,0.93,1.64,103.8,33.4,39.9
2019-07-04 12:00:00,457.67,0.911,0.199,,275.7,16.9,20.1,3.83,4.06,3.98,0.23,0.36,65.7,78.2,7.5
2019-07-05 12:00:00,451.81,1.081,0.135,176.4,325.8,,,4.26,1.07,4.63,0.8,1.94,191.5,91.4,1.5
2019-07-06 12:00:00,,0.29,0.283,105.1,476.2,87.0,14.1,8.06,4.24,0.57,0.35,1.6,134.9,116.2,37.2
2019-07-07 12:00:00,462.14,1.346,0.064,113.8,421.3,83.5,48.3,4.84,1.44,0.29,0.21,0.64,175.3,116.9,
2019-07-08 12:00:00,408.18,0.31,0.483,140.2,286.4,27.7,18.9,5.34,1.52,1.58,0.16,1.27,162.3,82.2,20.2
2019-07-09 12:00:00,443.62,,0.449,167.2,439.8,,40.8,7.98,,0.19,0.39,0.41,45.2,66.3,22.6
2019-07-10 12:00:00,438.77,0.737,,195.4,194.1,20.4,23.6,7.34,0.1,,0.64,0.66,14.3,126.5,8.3
2019-07-11 12:00:00,456.09,0.487,0.306,105.3,443.0,90.7,47.6,2.01,3.3,3.05,0.36,0.75,134.3,47.3,38.3
2019-07-12 12:00:00,,1.299,0.45,135.9,349.1,34.4,7.3,6.48,4.52,4.39,0.67,0.92,72.2,102.5,23.5
2019-07-13 12:00:00,480.89,1.08,0.415,197.7,443.3,90.2,19.7,5.09,4.79,0.88,,1.52,74.6,35.1,16.9
2019-07-14 12:00:00,451.89,,0.317,137.7,448.7,63.5,8.4,8.0,0.36,0.85,0.6,0.66,141.0,,4.7
2019-07-15 12:00:00,448.36,1.166,0.309,94.1,417.6,42.2,49.5,8.29,,4.07,0.75,0.95,147.3,91.7,45.8
2019-07-16 12:00:00,427.17,0.879,0.414,115.8,187.4,23.3,47.4,3.81,3.83,4.39,0.97,1.23,45.1,26.6,37.4
2019-07-17 12:00:00,421.29,0.139,0.438,177.9,115.6,99.6,22.0,9.01,0.45,,0.53,0.35,188.2,52.9,25.3
2019-07-18 12:00:00,412.37,0.833,0.384,139.3,241.0,,30.5,5.5,3.5,,0.82,,31.3,45.2,
2019-07-19 12:00:00,435.92,1.112,0.356,104.3,189.1,98.5,46.3,,2.19,1.72,0.5,0.78,103.4,37.0,49.1
2019-07-20 12:00:00,480.84,1.184,0.478,,121.8,18.7,22.5,5.64,0.15,4.01,,1.53,101.8,113.2,43.9
2019-07-21 12:00:00,,1.003,0.299,106.1,479.2,17.4,27.1,9.84,4.38,1.56,0.43,0.25,52.3,68.4,24.5
2019-07-22 12:00:00,430.36,1.07,0.262,187.6,196.5,,26.9,2.0,0.94,4.37,0.07,1.33,87.9,124.2,40.3
2019-07-23 12:00:00,475.95,1.077,0.44,178.6,144.7,66.7,32.8,1.29,2.24,4.09,0.67,0.85,137.1,,46.7
2019-07-24 12:00:00,403.77,0.282,0.389,158.3,,38.0,16.5,2.72,0.98,1.04,0.68,1.14,146.2,115.4,49.7
2019-07-25 12:00:00,,0.305,0.125,97.7,341.5,27.7,29.9,4.75,3.55,4.94,0.43,1.68,,86.7,42.0
2019-07-26 12:00:00,477.31,0.89,0.24,,296.1,86.1,11.6,8.17,,1.94,,1.03,72.3,54.0,40.9
2019-07-27 12:00:00,481.37,0.724,0.262,182.0,415.1,47.9,41.4,5.06,1.48,3.49,,1.49,123.3,71.5,42.2
2019-07-28 12:00:00,460.46,0.313,0.2,106.5,332.6,42.4,35.2,,,0.22,0.73,1.56,18.0,136.8,47.1
2019-07-29 12:00:00,446.54,1.112,0.082,87.6,336.8,16.0,19.6,4.16,,2.01,0.28,1.57,183.4,23.0,14.7
2019-07-30 12:00:00,475.6,1.338,,182.0,118.5,,29.7,,3.39,0.95,0.48,0.94,198.0,36.4,42.0
2019-07-31 12:00:00,461.35,0.963,,176.2,359.6,86.7,28.3,4.56,1.01,4.59,0.75,1.8,186.3,35.4,32.8
2019-08-01 12:00:00,460.55,0.93,,87.6,178.4,59.8,15.9,5.09,3.67,,0.3,0.46,156.8,94.6,
2019-08-02 12:00:00,498.49,0.35,0.441,179.0,165.4,46.4,40.8,5.5,3.03,3.83,0.27,0.6,63.0,122.7,
2019-08-03 12:00:00,470.21,0.195,0.072,80.6,292.3,13.3,,1.5,,3.67,0.59,1.73,24.8,131.5,11.0
2019-08-04 12:00:00,409.81,0.263,0.482,,340.5,41.3,31.6,3.23,,,0.51,0.21,46.9,48.5,12.9
2019-08-05 12:00:00,404.3,0.606,0.138,153.2,344.6,20.6,,7.93,0.35,3.62,0.53,1.92,108.9,26.7,49.0
2019-08-06 12:00:00,,0.298,0.383,82.8,103.6,,12.0,5.41,0.23,1.48,,1.48,,67.7,31.7
2019-08-07 12:00:00,464.59,1.121,0.202,73.1,235.2,33.0,35.3,8.44,2.06,4.86,0.11,0.56,83.3,59.7,26.5
2019-08-08 12:00:00,435.58,,0.447,95.5,414.8,13.7,,,3.6,0.17,0.55,1.09,32.4,39.1,14.0
2019-08-09 12:00:00,,1.495,0.33,133.6,283.7,61.6,14.7,3.63,4.94,,0.13,0.93,,133.7,36.0
2019-08-10 12:00:00,431.75,,0.154,57.6,446.4,75.3,33.1,,4.14,0.16,0.18,0.58,13.5,82.3,22.9
2019-08-11 12:00:00,488.38,,,122.1,104.4,58.2,24.4,1.37,0.91,0.22,0.7,0.14,62.5,,
2019-08-12 12:00:00,476.33,0.709,0.215,143.1,306.3,80.4,10.4,4.01,2.23,3.34,,0.41,147.5,81.7,42.1
2019-08-13 12:00:00,407.26,1.248,0.28,111.0,127.5,91.0,26.8,3.8,1.87,,0.89,1.44,,28.2,20.4
2019-08-14 12:00:00,425.45,1.058,0.124,,,84.1,32.0,1.33,0.71,0.19,,1.47,165.9,117.1,32.0
2019-08-15 12:00:00,431.17,0.692,0.188,144.8,277.2,94.2,24.3,3.29,3.86,4.4,0.48,1.15,192.0,103.4,21.7
2019-08-16 12:00:00,455.99,0.301,0.242,92.9,359.7,,6.5,7.81,3.64,3.01,0.93,0.62,91.7,149.3,26.1
2019-08-17 12:00:00,468.4,0.707,0.112,133.2,440.1,40.0,,2.93,3.71,2.15,0.96,1.38,117.6,37.2,31.7
2019-08-18 12:00:00,416.67,0.378,0.339,65.7,214.1,81.9,34.0,9.73,4.79,0.26,0.05,,74.0,27.3,37.5
2019-08-19 12:00:00,472.59,0.427,,148.7,159.4,70.0,24.2,7.13,3.34,2.99,0.12,1.42,,,19.1
2019-08-20 12:00:00,441.37,1.041,0.451,113.7,460.2,87.3,22.5,8.12,4.22,0.97,0.23,1.62,140.5,135.8,11.6
2019-08-21 12:00:00,477.8,1.064,0.404,69.0,230.9,,49.8,,0.27,0.11,0.18,0.82,147.3,72.4,3.7
2019-08-22 12:00:00,476.57,0.913,0.241,140.8,447.3,53.0,,9.87,2.42,1.75,0.81,1.02,93.8,89.7,2.3
2019-08-23 12:00:00,427.72,0.651,0.153,101.6,343.0,91.8,39.9,7.56,3.71,1.06,0.54,0.26,133.5,48.2,38.4
2019-08-24 12:00:00,447.83,0.249,0.174,168.7,238.1,51.9,44.5,9.33,1.9,4.99,0.65,,133.6,116.1,17.7
2019-08-25 12:00:00,405.8,1.169,0.374,191.0,493.4,84.0,46.3,3.46,0.29,4.18,0.17,,14.9,124.3,39.2
2019-08-26 12:00:00,435.69,0.789,0.346,,160.2,76.6,44.0,,4.11,2.65,0.71,0.65,198.4,74.3,41.4
2019-08-27 12:00:00,494.77,1.139,0.257,,104.6,68.1,30.2,1.25,,1.24,0.88,,181.8,,49.9
2019-08-28 12:00:00,401.05,0.27,0.285,151.7,116.6,28.7,36.8,2.46,4.36,1.17,0.35,,85.9,23.3,
2019-08-29 12:00:00,453.8,0.851,0.184,52.7,442.2,97.1,25.0,8.09,1.93,3.41,0.82,0.42,170.3,117.1,34.3
2019-08-30 12:00:00,427.45,,0.363,107.3,477.9,,,7.34,4.12,3.97,0.2,0.57,134.3,96.8,33.1
2019-08-31 12:00:00,415.06,,0.285,144.8,,30.8,22.8,,1.47,4.38,0.87,,117.3,81.2,8.3
2019-09-01 12:00:00,,1.146,0.423,175.9,379.9,87.4,,,,0.33,0.43,0.54,93.1,113.7,49.0
2019-09-02 12:00:00,453.02,0.12,0.47,78.9,200.9,69.2,20.5,3.94,1.39,0.21,0.26,0.47,191.7,60.6,15.7
2019-09-03 12:00:00,453.39,0.388,0.312,173.2,223.3,50.8,34.1,5.59,3.06,2.87,0.37,1.37,145.2,43.1,33.1
2019-09-04 12:00:00,416.77,0.9,0.308,197.1,105.5,58.4,31.9,5.64,1.71,3.63,0.11,1.61,,45.5,
2019-09-05 12:00:00,447.12,1.21,0.37,150.2,274.5,,10.2,2.82,1.85,3.85,0.72,0.98,176.6,124.3,41.4
2019-09-06 12:00:00,430.27,1.239,0.364,187.7,210.5,47.8,,7.79,0.51,2.72,0.24,0.26,25.4,105.3,20.7
2019-09-07 12:00:00,,0.461,0.237,146.4,234.3,80.4,40.4,9.74,2.32,0.74,0.33,,15.0,125.8,40.3
2019-09-08 12:00:00,471.28,1.205,0.223,64.2,186.7,71.7,33.7,3.79,1.61,2.56,0.41,1.06,143.5,98.7,36.0
2019-09-09 12:00:00,465.64,0.584,,,387.3,94.4,15.8,7.19,1.02,0.77,,1.39,83.0,28.8,47.8
2019-09-10 12:00:00,,0.963,,66.9,395.2,28.5,,2.74,,0.38,0.95,0.62,121.5,132.4,31.2
2019-09-11 12:00:00,415.44,0.813,0.388,78.4,134.8,,18.6,5.49,1.42,4.21,0.72,1.77,116.4,104.7,21.9
2019-09-12 12:00:00,,0.157,0.08,198.3,491.4,13.2,36.4,9.49,,1.22,0.42,1.35,,,36.0
2019-09-13 12:00:00,453.57,,0.172,131.3,307.4,80.9,28.5,5.35,1.59,4.75,0.63,1.68,,112.0,13.7
2019-09-14 12:00:00,449.25,0.566,,166.5,161.7,20.7,8.0,5.9,1.67,4.77,0.06,0.41,107.3,66.7,46.0
2019-09-15 12:00:00,453.31,0.44,0.219,173.3,228.8,68.3,45.7,1.45,4.77,2.73,0.63,,16.6,45.3,20.6
2019-09-16 12:00:00,479.72,0.432,0.114,148.6,,45.5,18.3,7.99,,2.77,0.29,1.92,192.4,22.8,25.0
2019-09-17 12:00:00,473.51,1.307,0.077,,349.0,52.7,19.2,5.39,1.4,1.71,0.33,0.14,186.3,23.6,
2019-09-18 12:00:00,464.93,1.21,0.143,154.2,117.9,80.2,42.4,7.79,3.83,1.84,0.58,0.36,136.7,122.7,
2019-09-19 12:00:00,414.97,0.935,0.449,195.5,119.0,58.7,43.4,1.35,3.04,2.78,0.82,,51.2,146.7,48.1
2019-09-20 12:00:00,484.78,1.27,0.061,95.1,,34.7,45.4,8.7,3.65,2.52,0.65,1.01,49.5,81.4,10.4
2019-09-21 12:00:00,449.0,0.444,0.16,127.2,,47.7,27.4,9.76,1.88,0.38,0.41,0.35,94.0,87.9,19.6
2019-09-22 12:00:00,464.81,0.291,0.174,,349.4,76.0,10.1,2.19,3.97,,0.31,1.82,19.9,51.5,16.0
2019-09-23 12:00:00,405.81,0.345,0.411,158.3,384.5,60.7,,,1.74,2.36,,0.14,166.5,27.5,31.7
2019-09-24 12:00:00,401.07,0.815,0.356,143.5,,,37.0,,0.15,,0.55,1.65,190.8,59.6,29.2
2019-09-25 12:00:00,413.93,,0.41,181.8,369.7,20.3,42.5,9.25,3.65,0.19,0.81,0.19,19.1,107.6,
2019-09-26 12:00:00,477.48,0.457,0.156,191.6,141.2,44.1,10.9,3.1,3.61,3.93,0.57,1.97,41.0,65.5,5.2
2019-09-27 12:00:00,413.84,0.64,0.324,108.6,182.3,28.0,27.0,,1.39,2.57,0.22,0.64,154.0,104.2,24.9
2019-09-28 12:00:00,426.7,0.463,0.236,76.0,324.5,38.1,16.3,3.12,2.5,,0.84,0.45,111.2,132.8,35.2
2019-09-29 12:00:00,414.45,0.562,0.112,134.6,240.9,74.9,19.4,7.81,0.77,3.53,0.6,,104.7,24.5,9.5
2019-09-30 12:00:00,483.99,1.052,0.249,119.8,379.6,17.2,28.4,7.44,,1.18,0.54,1.77,156.3,80.8,34.6
2019-10-01 12:00:00,489.76,0.638,,178.2,,14.1,11.9,6.93,0.89,2.04,0.33,1.4,73.8,57.4,44.2
2019-10-02 12:00:00,456.42,1.419,0.368,151.0,398.9,64.5,,6.55,1.37,3.4,0.68,1.36,,102.2,40.5
2019-10-03 12:00:00,,0.813,0.217,,194.7,13.5,49.2,8.2,2.65,4.07,0.38,0.11,141.0,130.1,
2019-10-04 12:00:00,417.23,0.278,0.144,,367.8,13.2,12.9,9.6,2.1,0.21,0.3,1.47,33.9,116.5,14.7
2019-10-05 12:00:00,410.68,1.077,0.415,132.5,331.3,70.4,31.4,9.08,3.14,4.19,0.17,1.86,191.9,70.4,26.9
2019-10-06 12:00:00,490.09,0.632,,195.4,166.8,92.4,39.6,6.24,1.16,3.88,0.65,1.28,45.4,144.1,33.1
2019-10-07 12:00:00,494.86,0.833,0.264,71.4,,54.7,39.7,7.75,1.38,2.37,0.57,0.78,85.4,86.8,21.2
2019-10-08 12:00:00,400.79,0.893,0.436,187.9,388.8,43.7,14.4,3.65,0.57,3.6,0.61,1.87,149.8,125.2,29.7
2019-10-09 12:00:00,463.29,,0.207,82.6,491.3,87.3,48.8,,1.54,2.22,0.25,1.17,187.5,90.2,28.2
2019-10-10 12:00:00,428.74,1.234,0.406,75.4,259.0,32.8,34.1,7.27,1.97,4.83,0.37,1.18,66.3,105.6,35.2
2019-10-11 12:00:00,466.7,1.145,0.277,164.9,,96.5,20.1,2.19,1.74,,0.64,0.86,132.1,129.9,10.9
2019-10-12 12:00:00,430.84,1.477,0.071,149.4,115.1,17.1,,3.76,4.4,1.47,0.91,1.23,141.0,125.7,26.6
2019-10-13 12:00:00,417.7,0.27,0.482,107.3,269.9,78.4,15.4,8.12,2.96,4.42,,1.41,44.1,101.9,33.1
2019-10-14 12:00:00,466.28,1.03,0.286,170.8,411.6,51.1,38.6,6.88,0.27,4.87,0.62,0.88,56.7,83.8,33.9
2019-10-15 12:00:00,428.71,0.418,0.369,91.5,385.1,85.4,14.8,2.23,1.49,0.57,0.21,0.62,149.5,,18.9
2019-10-16 12:00:00,497.98,0.302,0.088,,123.5,67.0,,8.95,3.91,,0.53,1.16,84.2,137.1,16.8
2019-10-17 12:00:00,477.32,1.228,0.403,81.5,253.9,74.3,21.1,1.71,3.05,4.48,0.35,,30.1,103.9,40.0
2019-10-18 12:00:00,435.11,1.377,0.441,63.7,231.7,75.5,6.0,5.87,0.97,2.29,0.37,0.21,142.9,107.9,27.4
2019-10-19 12:00:00,442.22,0.202,0.396,76.3,364.9,42.8,13.3,,0.91,1.39,0.75,0.87,21.1,62.0,45.5
2019-10-20 12:00:00,,,0.208,72.1,473.4,71.0,38.6,2.01,4.22,1.03,0.96,1.35,,,10.8
2019-10-21 12:00:00,468.13,0.924,0.422,182.0,150.2,36.5,6.0,6.76,4.02,4.32,0.77,0.13,26.1,,25.0
2019-10-22 12:00:00,435.04,1.319,0.389,153.4,228.0,68.3,41.4,1.48,2.21,2.92,0.28,1.36,144.8,83.7,
2019-10-23 12:00:00,497.84,0.458,0.194,50.9,175.0,89.2,44.1,9.61,4.12,4.37,0.23,0.67,134.1,125.0,23.9
2019-10-24 12:00:00,423.02,0.519,0.13,157.4,418.1,55.0,31.2,7.93,,4.64,0.78,1.31,98.4,139.6,46.0
2019-10-25 12:00:00,,0.189,0.251,134.6,249.6,26.0,46.5,5.41,4.05,2.78,0.84,1.95,84.7,77.1,3.2
2019-10-26 12:00:00,429.27,0.667,0.351,128.0,,36.2,43.1,6.86,2.22,2.14,0.39,0.53,52.6,96.9,16.7
2019-10-27 12:00:00,415.81,1.041,0.187,155.2,171.9,77.4,12.8,5.16,0.82,4.34,0.12,1.84,37.1,,32.4
2019-10-28 12:00:00,449.76,0.766,0.053,92.6,346.6,36.4,9.5,5.5,2.35,0.57,0.21,1.0,75.2,143.0,11.0
2019-10-29 12:00:00,411.27,1.163,0.057,193.9,113.0,,16.5,8.86,,4.14,0.53,0.18,187.3,100.8,22.1
2019-10-30 12:00:00,441.02,1.307,0.146,70.7,296.0,92.5,47.4,1.56,0.71,2.85,0.73,2.0,,88.4,18.6
2019-10-31 12:00:00,463.74,,0.484,120.9,371.1,26.8,44.7,2.04,0.43,1.13,0.41,0.54,14.8,85.0,36.0
